total_nodes_manhattan,solution_length_manhattan,total_nodes_misplaced,solution_length_misplaced,total_nodes_h_max,solution_length_h_max,solution_lengths_identical,shared_states_manhattan_misplaced,unique_to_manhattan,unique_to_misplaced,avg_order_diff_manhattan_misplaced,max_order_diff_manhattan_misplaced,shared_states_manhattan_h_max,unique_to_h_max,avg_order_diff_manhattan_h_max,max_order_diff_manhattan_h_max,shared_states_misplaced_h_max,avg_order_diff_misplaced_h_max,max_order_diff_misplaced_h_max,size,num_moves
12,5,12,5,17,5,True,12,0,0,0.0,0.0,12,5,0.09232954545454546,0.2272727272727273,12,0.09232954545454546,0.2272727272727273,4,5
15,5,15,5,23,5,True,15,0,0,0.0,0.0,15,8,0.07835497835497836,0.18181818181818177,15,0.07835497835497836,0.18181818181818177,4,5
16,5,16,5,19,5,True,16,0,0,0.0,0.0,16,3,0.04513888888888889,0.1111111111111111,16,0.04513888888888889,0.1111111111111111,4,5
12,5,12,5,20,5,True,12,0,0,0.0,0.0,12,8,0.12041467304625199,0.23923444976076558,12,0.12041467304625199,0.23923444976076558,4,5
13,5,13,5,20,5,True,13,0,0,0.0,0.0,13,7,0.05398110661268555,0.1228070175438597,13,0.05398110661268555,0.1228070175438597,4,5
12,5,19,5,19,5,True,12,0,0,0.043350168350168354,0.14141414141414144,12,0,0.09132996632996633,0.2121212121212121,19,0.08187134502923976,0.2777777777777778,4,5
16,5,16,5,26,5,True,16,0,0,0.0,0.0,16,10,0.09333333333333334,0.1866666666666667,16,0.09333333333333334,0.1866666666666667,4,5
16,6,16,6,31,6,True,16,0,0,0.0,0.0,16,15,0.060416666666666674,0.13333333333333341,16,0.060416666666666674,0.13333333333333341,4,8
14,6,14,6,38,6,True,14,0,0,0.0,0.0,14,24,0.08984258984258986,0.1995841995841996,14,0.08984258984258986,0.1995841995841996,4,8
15,6,15,6,39,6,True,15,0,0,0.0,0.0,15,24,0.12330827067669173,0.3157894736842105,15,0.12330827067669173,0.3157894736842105,4,8
19,8,19,8,72,8,True,19,0,0,0.0,0.0,19,53,0.1770447244872745,0.39984350547730824,19,0.1770447244872745,0.39984350547730824,4,8
32,8,40,8,119,8,True,32,2,2,0.11709057071960297,0.4160463192721257,30,81,0.1639420448332422,0.41470749043192995,38,0.22549120519682517,0.557149065623642,4,8
19,8,19,8,105,8,True,19,0,0,0.0,0.0,19,86,0.12038911381016645,0.3076923076923077,19,0.12038911381016645,0.3076923076923077,4,8
15,6,15,6,36,6,True,15,0,0,0.0,0.0,15,21,0.13047619047619047,0.30000000000000004,15,0.13047619047619047,0.30000000000000004,4,8
27,8,40,8,95,8,True,27,0,2,0.10018993352326687,0.25641025641025644,27,57,0.22507122507122507,0.6350245499181669,38,0.20253682487725042,0.5070921985815602,4,8
32,8,40,8,119,8,True,32,2,2,0.08532361455748554,0.3316790736145575,30,81,0.16597412064880626,0.4688354291962821,38,0.22421029758228686,0.5995219469795741,4,8
18,6,18,6,29,6,True,18,0,0,0.0,0.0,18,11,0.09757236227824465,0.23109243697478998,18,0.09757236227824465,0.23109243697478998,4,8
20,8,20,8,130,8,True,20,0,0,0.0,0.0,20,110,0.10340677274581803,0.19787841697266428,20,0.10340677274581803,0.19787841697266428,4,8
20,8,20,8,94,8,True,20,0,0,0.0,0.0,20,74,0.08200339558573853,0.26598754951895864,20,0.08200339558573853,0.26598754951895864,4,8
16,6,24,6,36,6,True,16,0,0,0.0677536231884058,0.16521739130434776,16,12,0.07142857142857144,0.1428571428571429,24,0.12075569358178055,0.7428571428571429,4,8
37,8,63,8,166,8,True,37,0,0,0.10578320255739611,0.3646953405017921,37,103,0.2214032214032214,0.595959595959596,63,0.2294946391720585,0.6023460410557185,4,8
31,8,54,8,89,8,True,31,2,12,0.1391560154189491,0.6025157232704403,29,47,0.1349791013584117,0.3424242424242424,42,0.16885158866290942,0.6144939965694683,4,8
15,6,15,6,39,6,True,15,0,0,0.0,0.0,15,24,0.11729323308270677,0.3157894736842105,15,0.11729323308270677,0.3157894736842105,4,8
18,6,18,6,37,6,True,18,0,0,0.0,0.0,18,19,0.07961147421931736,0.18627450980392157,18,0.07961147421931736,0.18627450980392157,4,8
16,8,16,8,73,8,True,16,0,0,0.0,0.0,16,57,0.13246527777777778,0.26388888888888884,16,0.13246527777777778,0.26388888888888884,4,8
15,6,15,6,26,6,True,15,0,0,0.0,0.0,15,11,0.08857142857142856,0.21999999999999997,15,0.08857142857142856,0.21999999999999997,4,8
16,8,16,8,73,8,True,16,0,0,0.0,0.0,16,57,0.13246527777777778,0.26388888888888884,16,0.13246527777777778,0.26388888888888884,4,8
18,8,18,8,80,8,True,18,0,0,0.0,0.0,18,62,0.15131959956978572,0.32315711094564403,18,0.15131959956978572,0.32315711094564403,4,8
19,8,19,8,105,8,True,19,0,0,0.0,0.0,19,86,0.1596941070625281,0.3942307692307692,19,0.1596941070625281,0.3942307692307692,4,8
19,8,38,8,83,8,True,19,0,0,0.12209577999051684,0.2852852852852853,19,45,0.15361574668378264,0.3360433604336044,38,0.14034798598341602,0.5319709953856295,4,8
19,8,19,8,102,8,True,19,0,0,0.0,0.0,19,83,0.15329164495396908,0.41309130913091313,19,0.15329164495396908,0.41309130913091313,4,8
22,8,22,8,66,8,True,22,0,0,0.0,0.0,22,44,0.07782217782217783,0.21758241758241764,22,0.07782217782217783,0.21758241758241764,4,8
26,8,51,8,156,8,True,26,0,9,0.08307692307692306,0.20000000000000007,26,114,0.12833746898263027,0.3535483870967743,42,0.1666205837173579,0.42967741935483866,4,8
20,8,20,8,62,8,True,20,0,0,0.0,0.0,20,42,0.12389991371872303,0.28990509059534075,20,0.12389991371872303,0.28990509059534075,4,8
17,8,30,8,54,8,True,17,0,2,0.10065922920892494,0.2521551724137931,17,26,0.12721975582685904,0.2617924528301887,28,0.13811692536481085,0.4729993493819128,4,8
30,8,32,8,98,8,True,30,3,3,0.08461253244345568,0.4082313681868743,27,69,0.13727271530328766,0.4386775684322787,29,0.1236540027292639,0.3834386431659461,4,8
15,6,17,6,25,6,True,15,0,0,0.04107142857142857,0.09821428571428573,15,8,0.10912698412698413,0.26785714285714285,17,0.09803921568627451,0.20833333333333334,4,8
32,8,38,8,157,8,True,32,1,1,0.0681124673060157,0.2824760244115083,31,120,0.15265882227380667,0.4592638544251447,37,0.19554325635406716,0.5168052668052668,4,8
17,6,17,6,38,6,True,17,0,0,0.0,0.0,17,21,0.1077106518282989,0.24831081081081086,17,0.1077106518282989,0.24831081081081086,4,8
22,8,22,8,127,8,True,22,0,0,0.0,0.0,22,105,0.1212121212121212,0.23809523809523808,22,0.1212121212121212,0.23809523809523808,4,8
30,8,32,8,92,8,True,30,3,3,0.09150908416759361,0.3437152391546162,27,63,0.12433160709022778,0.45737021599090566,29,0.13909227591096335,0.35058489897199574,4,8
15,6,15,6,36,6,True,15,0,0,0.0,0.0,15,21,0.14,0.3,15,0.14,0.3,4,8
17,6,18,6,29,6,True,17,1,1,0.0921280276816609,0.39705882352941174,16,12,0.10267857142857142,0.2232142857142857,17,0.11270390509144834,0.3382352941176471,4,8
17,8,17,8,61,8,True,17,0,0,0.0,0.0,17,44,0.1377450980392157,0.36250000000000004,17,0.1377450980392157,0.36250000000000004,4,8
17,6,17,6,38,6,True,17,0,0,0.0,0.0,17,21,0.1077106518282989,0.24831081081081086,17,0.1077106518282989,0.24831081081081086,4,8
15,6,15,6,24,6,True,15,0,0,0.0,0.0,15,9,0.09130434782608694,0.19565217391304346,15,0.09130434782608694,0.19565217391304346,4,8
14,6,17,6,28,6,True,14,0,0,0.04429945054945055,0.10096153846153844,14,11,0.07366707366707367,0.19943019943019946,17,0.09340958605664489,0.22916666666666669,4,8
15,6,17,6,22,6,True,15,0,0,0.04107142857142857,0.09821428571428573,15,5,0.03968253968253967,0.11904761904761901,17,0.0315126050420168,0.0892857142857143,4,8
26,8,29,8,150,8,True,26,0,0,0.029835164835164834,0.07285714285714284,26,121,0.19316468766133196,0.3793288590604027,29,0.19767249644592855,0.41730584851390223,4,8
15,6,17,6,22,6,True,15,0,0,0.03273809523809524,0.08035714285714285,15,5,0.07777777777777777,0.16666666666666666,17,0.06792717086834733,0.19345238095238093,4,8
17,8,17,8,90,8,True,17,0,0,0.0,0.0,17,73,0.17853602115003303,0.4276685393258427,17,0.17853602115003303,0.4276685393258427,4,8
22,8,22,8,110,8,True,22,0,0,0.0,0.0,22,88,0.11106477620239087,0.25775447793796424,22,0.11106477620239087,0.25775447793796424,4,8
19,8,19,8,83,8,True,19,0,0,0.0,0.0,19,64,0.16673798316930535,0.47696476964769646,19,0.16673798316930535,0.47696476964769646,4,8
19,8,40,8,79,8,True,19,0,0,0.11403508771929824,0.27777777777777773,19,39,0.13157894736842105,0.3162393162393163,40,0.1528846153846154,0.5384615384615385,4,8
30,8,32,8,91,8,True,30,3,3,0.0872080088987764,0.3047830923248053,27,62,0.11031644671491414,0.3440613026819923,29,0.1157458904956124,0.39283154121863795,4,8
21,8,29,8,113,8,True,21,0,1,0.07210884353741497,0.17142857142857137,21,85,0.14345238095238094,0.3125,28,0.17793367346938774,0.4107142857142857,4,8
20,8,20,8,99,8,True,20,0,0,0.0,0.0,20,79,0.1537325456498389,0.40547798066595064,20,0.1537325456498389,0.40547798066595064,4,8
22,9,22,9,143,9,True,22,0,0,0.0,0.0,22,121,0.10051216389244559,0.25586854460093894,22,0.10051216389244559,0.25586854460093894,4,11
21,9,21,9,186,9,True,21,0,0,0.0,0.0,21,165,0.13822393822393822,0.35000000000000003,21,0.13822393822393822,0.35000000000000003,4,11
47,9,66,9,246,9,True,47,0,0,0.09355297801181242,0.4341137123745819,47,180,0.2695406747342785,0.6289263531499556,66,0.2738499595642453,0.6803767660910518,4,11
34,11,99,11,520,11,True,34,0,7,0.14235694277711083,0.5337043908472481,34,428,0.209143457698371,0.48695042914696096,92,0.24961276292371684,0.7492430498210845,4,11
33,11,108,11,389,11,True,33,0,9,0.1514797507788162,0.4535630841121495,33,288,0.19771165260855983,0.4642396907216495,99,0.2345338927379586,0.7231910588688698,4,11
36,11,46,11,475,11,True,36,3,4,0.09673721340388006,0.4349206349206349,33,433,0.17444243520192887,0.38637733574442434,42,0.19712678320273255,0.4935302390998594,4,11
35,11,50,11,593,11,True,35,1,1,0.08802949751329105,0.4471788715486194,34,544,0.14593659403347983,0.3617845786963434,49,0.24286755518533942,0.6268615554329839,4,11
25,11,28,11,597,11,True,25,0,0,0.03222222222222221,0.07870370370370366,25,569,0.17020134228187922,0.30732662192393734,28,0.18107489080643444,0.3675118071091225,4,11
20,9,20,9,152,9,True,20,0,0,0.0,0.0,20,132,0.133373997908679,0.3210177762286511,20,0.133373997908679,0.3210177762286511,4,11
43,11,110,11,825,11,True,43,0,3,0.12443232039989027,0.4650502402795981,43,718,0.24603129804642562,0.5392394822006472,107,0.3088663510612351,0.7296138772601763,4,11
27,11,68,11,674,11,True,27,0,0,0.10730535357401029,0.32089552238805974,27,606,0.21713592664558487,0.522745456623614,68,0.34306637427320175,0.719988467765186,4,11
25,11,25,11,770,11,True,25,0,0,0.0,0.0,25,745,0.1837971391417425,0.4090810576506285,25,0.1837971391417425,0.4090810576506285,4,11
32,9,37,9,164,9,True,32,3,3,0.08725358422939068,0.30197132616487454,29,130,0.1341708919931485,0.2691470413615674,34,0.14714403143670557,0.46932515337423314,4,11
12,5,12,5,20,5,True,12,0,0,0.0,0.0,12,8,0.06379585326953748,0.15311004784688997,12,0.06379585326953748,0.15311004784688997,4,11
53,11,83,11,632,11,True,53,3,4,0.10009203865623562,0.47467166979362097,50,553,0.2101383640131659,0.6112702669754968,79,0.23360035110913005,0.7213675544045457,4,11
25,11,25,11,464,11,True,25,0,0,0.0,0.0,25,439,0.17266378689704823,0.3747300215982722,25,0.17266378689704823,0.3747300215982722,4,11
59,11,88,11,310,11,True,59,0,3,0.10062341710500682,0.26436781609195403,59,225,0.22128942933502807,0.5773909161923891,85,0.2556739334501795,0.6231447383104564,4,11
38,9,54,9,231,9,True,38,0,0,0.07488123674816824,0.1795002549719531,38,177,0.21014905065248315,0.5437132784958872,54,0.257636800048613,0.6171452009844135,4,11
