"level_1#","level_1_F","level_1_H","level_1_G","level_1_BF","level_2#","level_2_F","level_2_H","level_2_G","level_2_BF","level_3#","level_3_F","level_3_H","level_3_G","level_3_BF","level_4#","level_4_F","level_4_H","level_4_G","level_4_BF","level_5#","level_5_F","level_5_H","level_5_G","level_5_BF","level_6#","level_6_F","level_6_H","level_6_G","level_6_BF","level_7#","level_7_F","level_7_H","level_7_G","level_7_BF","level_8#","level_8_F","level_8_H","level_8_G","level_8_BF","level_9#","level_9_F","level_9_H","level_9_G","level_9_BF","level_10#","level_10_F","level_10_H","level_10_G","level_10_BF","H0","H_min","last_H_min_update","f_max","node_max"
"28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","1","85.0","17.0","0","2","17.0","15.0","18","88.0","135"
"29","85.0","15.0","10","3","27","84.0","15.0","9","4","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","17.0","15.0","19","88.0","135"
"30","85.0","15.0","10","3","27","84.0","15.0","9","4","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","17.0","15.0","20","88.0","135"
"31","85.0","15.0","10","3","27","84.0","15.0","9","4","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","17.0","15.0","21","88.0","135"
"32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","3","86.0","17.0","1","3","17.0","15.0","22","88.0","135"
"33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","5","87.0","17.0","2","3","17.0","14.0","0","88.0","135"
"34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","8","88.0","17.0","3","4","17.0","13.0","0","88.0","135"
"35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","9","84.0","16.0","4","4","17.0","12.0","0","88.0","135"
"36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17","85.0","16.0","5","5","17.0","12.0","1","88.0","135"
"37","70.0","11.0","15","6","36","74.0","12.0","14","5","35","73.0","12.0","13","6","34","77.0","13.0","12","5","33","81.0","14.0","11","6","32","85.0","15.0","10","5","28","84.0","15.0","9","5","26","83.0","15.0","8","4","25","82.0","15.0","7","5","24","86.0","16.0","6","5","17.0","11.0","0","88.0","135"
